tag,animal_project_code,utcReleaseDateTime,scientificName,commonName,captureLocation,personId,animalId,estTagLife,endDateTag,catchedDateTime,captureLatitude,captureLongitude,captureDepth,recaptureDate,releaseLocation,releaseLatitude,releaseLongitude,lifeStage,wildOrHatchery,length,lengthType,lengthUnits,length2,length2Type,length2Units,length3,length3Type,length3Units,length4,length4Type,length4Units,weight,weightUnits,comments,projectmember,captureMethod,sex,surgeryLatitude,surgeryLongitude,surgeryLocation,dateOfSurgery,idPk,aphiaId,externalId,sensorReadings,retrievalDevice
A69-1601-41282,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52823,105923,LESPUR-1238852-2016-07-21,,
A69-1601-41283,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52824,105923,LESPUR-1238853-2016-07-21,,
A69-1601-41284,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52825,105923,LESPUR-1238854-2016-07-21,,
A69-1601-41285,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52826,105923,LESPUR-1238855-2016-07-21,,
A69-1601-41286,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52827,105923,LESPUR-1238856-2016-07-21,,
A69-1601-41287,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52828,105923,LESPUR-1238857-2016-07-21,,
A69-1601-41288,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52829,105923,LESPUR-1238858-2016-07-21,,
A69-1601-41289,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52830,105923,LESPUR-1238859-2016-07-21,,
A69-1601-41290,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52831,105923,LESPUR-1238860-2016-07-21,,
A69-1601-41291,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52832,105923,LESPUR-1238861-2016-07-22,,
A69-1601-41292,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52833,105923,LESPUR-1238862-2016-07-22,,
A69-1601-41293,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52834,105923,LESPUR-1238863-2016-07-22,,
A69-1601-41294,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52835,105923,LESPUR-1238864-2016-07-22,,
A69-1601-41295,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52836,105923,LESPUR-1238865-2016-07-22,,
S256-13,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52837,105923,LESPUR-13,,
S256-14,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52838,105923,LESPUR-14,,
S256-15,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52839,105923,LESPUR-15,,
